fips,name,pop_18
1001,"Autauga, AL",55601
1003,"Baldwin, AL",218022
1005,"Barbour, AL",24881
1007,"Bibb, AL",22400
1009,"Blount, AL",57840
1011,"Bullock, AL",10138
1013,"Butler, AL",19680
1015,"Calhoun, AL",114277
1017,"Chambers, AL",33615
1019,"Cherokee, AL",26032
1021,"Chilton, AL",44153
1023,"Choctaw, AL",12841
1025,"Clarke, AL",23920
1027,"Clay, AL",13275
1029,"Cleburne, AL",14987
1031,"Coffee, AL",51909
1033,"Colbert, AL",54762
1035,"Conecuh, AL",12277
1037,"Coosa, AL",10715
1039,"Covington, AL",36986
1041,"Crenshaw, AL",13824
1043,"Cullman, AL",83442
1045,"Dale, AL",48956
1047,"Dallas, AL",38310
1049,"DeKalb, AL",71385
1051,"Elmore, AL",81887
1053,"Escambia, AL",36748
1055,"Etowah, AL",102501
1057,"Fayette, AL",16433
1059,"Franklin, AL",31363
1061,"Geneva, AL",26314
1063,"Greene, AL",8233
1065,"Hale, AL",14726
1067,"Henry, AL",17209
1069,"Houston, AL",104722
1071,"Jackson, AL",51736
1073,"Jefferson, AL",659300
1075,"Lamar, AL",13844
1077,"Lauderdale, AL",92387
1079,"Lawrence, AL",32957
1081,"Lee, AL",163941
1083,"Limestone, AL",96174
1085,"Lowndes, AL",9974
1087,"Macon, AL",18439
1089,"Madison, AL",366519
1091,"Marengo, AL",19066
1093,"Marion, AL",29763
1095,"Marshall, AL",96109
1097,"Mobile, AL",413757
1099,"Monroe, AL",21067
1101,"Montgomery, AL",225763
1103,"Morgan, AL",119089
1105,"Perry, AL",9140
1107,"Pickens, AL",19938
1109,"Pike, AL",33338
1111,"Randolph, AL",22725
1113,"Russell, AL",57781
1115,"St. Clair, AL",88690
1117,"Shelby, AL",215707
1119,"Sumter, AL",12691
1121,"Talladega, AL",79828
1123,"Tallapoosa, AL",40497
1125,"Tuscaloosa, AL",208911
1127,"Walker, AL",63711
1129,"Washington, AL",16378
1131,"Wilcox, AL",10627
1133,"Winston, AL",23660
2010,"Aleutian Islands Census Area, AK*",
2013,"Aleutians East Borough, AK*",3515
2016,"Aleutians West Census Area, AK*",5723
2020,"Anchorage Municipality, AK",291538
2050,"Bethel Census Area, AK*",18216
2060,"Bristol Bay Borough, AK",877
2068,"Denali Borough, AK*",2059
2070,"Dillingham Census Area, AK*",5000
2090,"Fairbanks North Star Borough, AK",98971
2100,"Haines Borough, AK",2474
2105,"Hoonah-Angoon Census Area, AK*",2151
2110,"Juneau City and Borough, AK",32113
2122,"Kenai Peninsula Borough, AK",58533
2130,"Ketchikan Gateway Borough, AK*",13918
2150,"Kodiak Island Borough, AK",13345
2158,"Kusilvak Census Area, AK*",8303
2164,"Lake and Peninsula Borough, AK*",1587
2170,"Matanuska-Susitna Borough, AK",107610
2180,"Nome Census Area, AK*",10008
2185,"North Slope Borough, AK",9872
2188,"Northwest Arctic Borough, AK",7671
2195,"Petersburg Borough, AK*",3221
2198,"Prince of Wales-Hyder Census Area, AK*",6422
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",
2220,"Sitka City and Borough, AK",8647
2230,"Skagway Municipality, AK*",1148
2231,"Skagway-Yakutat-Angoon Census Area, AK*",
2232,"Skagway-Hoonah-Angoon Census Area, AK*",
2240,"Southeast Fairbanks Census Area, AK*",6918
2261,"Valdez-Cordova Census Area, AK*",9164
2275,"Wrangell City and Borough, AK*",2503
2280,"Wrangell-Petersburg Census Area, AK*",
2282,"Yakutat City and Borough, AK*",604
2290,"Yukon-Koyukuk Census Area, AK*",5327
2901,"Aleutian Islands Division, AK*",
2903,"Angoon Division, AK*",
2904,"Barrow-North Slope Division, AK*",
2905,"Bethel Division, AK*",
2907,"Bristol Bay Division, AK*",
2908,"Cordova-McCarthy Division, AK*",
2910,"Haines Division, AK*",
2912,"Kenai-Cook Inlet Division, AK*",
2916,"Kuskokwim Division, AK*",
2919,"Outer Ketchikan Division, AK*",
2920,"Prince of Wales Division, AK*",
2921,"Seward Division, AK*",
2922,"Sitka Division, AK*",
2923,"Skagway-Yakutat Division, AK*",
2924,"Southeast Fairbanks Division, AK*",
2925,"Upper Yukon Division, AK*",
2926,"Valdez-Chitina-Whittier Division, AK*",
2928,"Wrangell-Petersburg Division, AK*",
2929,"Yukon-Koyukuk Division, AK*",
4001,"Apache, AZ",71818
4003,"Cochise, AZ",126770
4005,"Coconino, AZ",142854
4007,"Gila, AZ",53889
4009,"Graham, AZ",38072
4011,"Greenlee, AZ",9483
4012,"La Paz, AZ*",21098
4013,"Maricopa, AZ",4410824
4015,"Mohave, AZ",209550
4017,"Navajo, AZ",110445
